City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,57.67,69,40,4.83,scattered clouds
1,Vaini,TO,-21.2,-175.2,84.36,84,75,9.22,broken clouds
2,Baker City,US,44.7749,-117.8344,24.51,58,0,4.61,clear sky
3,Ismailia,EG,30.6043,32.2723,61.32,75,11,7.87,few clouds
4,Rikitea,PF,-23.1203,-134.9692,74.91,77,7,12.75,clear sky
5,Hithadhoo,MV,-0.6,73.0833,82.69,71,100,11.79,light rain
6,Boguchany,RU,58.3814,97.4531,-12.48,100,70,3.78,broken clouds
7,Port Alfred,ZA,-33.5906,26.891,62.19,91,100,6.93,overcast clouds
8,Airai,TL,-8.9266,125.4092,76.71,39,96,0.87,overcast clouds
9,Havoysund,NO,70.9963,24.6622,28.63,78,26,9.69,scattered clouds
10,Jamestown,US,42.097,-79.2353,36.99,56,100,12.66,overcast clouds
11,Port Elizabeth,ZA,-33.918,25.5701,63.32,85,100,1.01,overcast clouds
12,Brae,GB,60.3964,-1.353,43.57,71,100,10.54,overcast clouds
13,Ancud,CL,-41.8697,-73.8203,52.25,92,48,3.62,scattered clouds
14,Tasiilaq,GL,65.6145,-37.6368,32.16,96,100,10.54,snow
15,Mizdah,LY,31.4451,12.9801,58.08,30,1,4.27,clear sky
16,Barrow,US,71.2906,-156.7887,1.42,85,0,10.36,clear sky
17,Prince Rupert,CA,54.3161,-130.3201,31.69,67,0,8.05,clear sky
18,Tual,ID,-5.6667,132.75,83.53,70,63,4.07,broken clouds
19,Cape Town,ZA,-33.9258,18.4232,61.88,70,20,14.97,few clouds
20,Shingu,JP,33.7333,135.9833,55.47,70,100,3.31,overcast clouds
21,Punta Arenas,CL,-53.15,-70.9167,42.91,65,20,14.97,few clouds
22,Tilichiki,RU,60.4667,166.1,3.42,79,20,6.85,few clouds
23,Cidreira,BR,-30.1811,-50.2056,71.51,97,100,5.08,overcast clouds
24,Mataura,NZ,-46.1927,168.8643,61.56,55,99,10.09,light rain
25,Longyearbyen,SJ,78.2186,15.6401,28.24,80,75,17.27,light snow
26,Nikolskoye,RU,59.7035,30.7861,22.91,88,100,8.23,overcast clouds
27,Sitka,US,57.0531,-135.33,33.69,69,0,4.61,clear sky
28,Tiksi,RU,71.6872,128.8694,-9.63,94,100,18.43,overcast clouds
29,Iwanai,JP,42.9744,140.5089,25.47,78,100,18.97,light snow
30,Hobart,AU,-42.8794,147.3294,68.05,68,75,11.5,broken clouds
31,Kempsey,AU,-31.0833,152.8333,72.95,55,92,8.99,overcast clouds
32,Khatanga,RU,71.9667,102.5,15.37,92,100,26.11,light snow
33,Albany,US,42.6001,-73.9662,41.41,65,15,4.0,few clouds
34,Arraial Do Cabo,BR,-22.9661,-42.0278,72.79,91,97,25.57,overcast clouds
35,Mahon,ES,39.8885,4.2658,50.56,93,0,6.91,clear sky
36,Sola,VU,-13.8833,167.55,82.17,68,96,11.65,overcast clouds
37,Klaksvik,FO,62.2266,-6.589,43.72,93,100,6.31,overcast clouds
38,Provideniya,RU,64.3833,-173.3,31.8,97,100,10.6,snow
39,Bambous Virieux,MU,-20.3428,57.7575,73.65,83,40,0.0,scattered clouds
40,Saldanha,ZA,-33.0117,17.9442,57.25,75,53,19.51,broken clouds
41,Esperance,AU,-33.8667,121.9,66.52,70,100,17.81,light rain
42,Betioky,MG,-23.7167,44.3833,71.19,78,14,1.48,few clouds
43,Ushuaia,AR,-54.8,-68.3,38.86,87,75,13.8,broken clouds
44,Grindavik,IS,63.8424,-22.4338,36.07,100,75,5.75,broken clouds
45,Chihuahua,MX,28.5,-106.0,68.2,45,59,5.08,broken clouds
46,Mondlo,ZA,-27.983,30.7177,56.57,94,100,5.86,overcast clouds
47,Aklavik,CA,68.2191,-135.0107,13.33,78,83,25.26,broken clouds
48,Gejiu,CN,23.306,103.1635,51.62,89,73,4.47,broken clouds
49,Lebu,CL,-37.6167,-73.65,55.74,89,6,11.07,clear sky
50,Bredasdorp,ZA,-34.5322,20.0403,54.03,71,9,1.72,clear sky
51,Souillac,MU,-20.5167,57.5167,73.78,83,40,0.0,scattered clouds
52,Nacala,MZ,-14.5428,40.6728,75.99,91,21,5.37,few clouds
53,Dikson,RU,73.5069,80.5464,28.31,93,100,22.28,overcast clouds
54,Pooler,US,32.1155,-81.2471,68.07,79,75,6.91,broken clouds
55,Kirakira,SB,-10.4544,161.9205,83.86,75,100,9.28,overcast clouds
56,Ostrovnoy,RU,68.0531,39.5131,18.55,89,35,9.37,scattered clouds
57,Codrington,AU,-38.2667,141.9667,84.2,40,100,10.63,overcast clouds
58,Araouane,ML,18.9048,-3.5265,74.37,18,95,9.57,overcast clouds
59,Bluff,NZ,-46.6,168.3333,57.72,75,100,28.45,light rain
60,Thompson,CA,55.7435,-97.8558,-18.24,76,20,4.61,few clouds
61,Devarkonda,IN,16.7,78.9333,71.64,88,61,4.76,broken clouds
62,Brasileia,BR,-11.0161,-68.7481,72.21,93,100,2.93,overcast clouds
63,Abu Samrah,SY,35.3029,37.1841,54.1,71,100,2.19,overcast clouds
64,Kutum,SD,14.2,24.6667,59.34,26,7,8.7,clear sky
65,Hambantota,LK,6.1241,81.1185,73.74,100,40,1.14,scattered clouds
66,Cherskiy,RU,68.75,161.3,6.28,96,100,4.05,light snow
67,Kavieng,PG,-2.5744,150.7967,80.4,78,100,5.46,overcast clouds
68,Kargat,RU,55.1956,80.2811,-5.84,96,100,5.55,overcast clouds
69,Dingle,PH,10.9995,122.6711,83.57,76,67,9.84,broken clouds
70,Cayenne,GF,4.9333,-52.3333,73.44,94,75,1.14,broken clouds
71,Puerto Ayora,EC,-0.7393,-90.3518,69.55,94,60,4.0,broken clouds
72,Yerofey Pavlovich,RU,53.9667,121.9667,-10.08,80,100,3.4,overcast clouds
73,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,86,20,8.05,few clouds
74,East London,ZA,-33.0153,27.9116,64.38,82,100,5.55,light rain
75,Muros,ES,42.7762,-9.0603,42.84,84,3,10.69,clear sky
76,Moron,AR,-34.6534,-58.6198,73.09,65,0,6.8,clear sky
77,Tuatapere,NZ,-46.1333,167.6833,59.94,65,99,12.39,overcast clouds
78,Chokurdakh,RU,70.6333,147.9167,-21.32,97,63,11.27,broken clouds
79,Kalmunai,LK,7.4167,81.8167,77.85,84,65,6.06,broken clouds
80,Acapulco,MX,16.8634,-99.8901,79.07,72,0,6.76,clear sky
81,Didwana,IN,27.4,74.5667,56.48,38,0,3.29,clear sky
82,Adrar,MR,20.5022,-10.0711,68.13,23,0,6.11,clear sky
83,Ponta Do Sol,PT,32.6667,-17.1,62.01,77,59,10.67,light rain
84,Luang Prabang,LA,19.8856,102.1347,71.56,88,75,0.0,mist
85,Calgary,CA,51.0501,-114.0853,18.77,61,0,8.05,clear sky
86,Hilo,US,19.7297,-155.09,80.28,85,100,10.36,overcast clouds
87,Guerrero Negro,MX,27.9769,-114.0611,64.56,79,92,9.06,overcast clouds
88,Busselton,AU,-33.65,115.3333,67.6,57,70,15.64,broken clouds
89,Butaritari,KI,3.0707,172.7902,81.09,78,14,13.18,few clouds
90,Oyama,JP,36.3,139.8,49.59,33,8,0.72,clear sky
91,Kapaa,US,22.0752,-159.319,82.72,68,0,11.5,clear sky
92,Puerto Escondido,MX,15.85,-97.0667,78.66,63,4,3.85,clear sky
93,Emilio Carranza,MX,19.9711,-96.6114,73.51,87,4,4.92,clear sky
94,Atuona,PF,-9.8,-139.0333,77.67,78,2,14.88,light rain
95,Formosa,AR,-26.1775,-58.1781,78.78,83,0,5.75,clear sky
96,Nouakchott,MR,18.0858,-15.9785,60.73,67,0,8.72,clear sky
97,Itzehoe,DE,53.921,9.5153,32.09,83,20,8.41,few clouds
98,Ewa Beach,US,21.3156,-158.0072,84.15,58,75,13.8,broken clouds
99,Burnie,AU,-41.0667,145.9167,69.94,66,99,6.24,overcast clouds
100,Mar Del Plata,AR,-38.0023,-57.5575,65.95,79,0,5.75,clear sky
101,Simand,RO,46.4333,21.45,37.45,83,100,2.73,overcast clouds
102,Pevek,RU,69.7008,170.3133,9.61,77,100,4.34,overcast clouds
103,Rudarpur,IN,26.4394,83.6144,59.67,65,0,4.27,clear sky
104,Sungaipenuh,ID,-2.0833,101.3833,72.25,79,98,3.04,heavy intensity rain
105,Camacha,PT,33.0833,-16.3333,56.62,77,40,3.44,scattered clouds
106,Praya,CV,14.9215,-23.5087,70.34,64,20,4.61,few clouds
107,Yellowknife,CA,62.456,-114.3525,31.78,89,100,21.25,light snow
108,Lindi,TZ,-10.0,39.7167,73.85,90,53,2.35,broken clouds
109,Bethel,US,41.3712,-73.414,52.63,58,0,12.66,clear sky
110,Saint-Philippe,RE,-21.3585,55.7679,74.79,85,92,9.19,light rain
111,Bolekhiv,UA,49.0661,23.8643,32.2,94,100,6.11,overcast clouds
112,Goure,NE,13.9835,10.2704,71.82,23,83,11.01,broken clouds
113,Northam,GB,51.0333,-4.2167,41.4,75,100,14.16,overcast clouds
114,Puerto Ayacucho,VE,5.6639,-67.6236,74.64,89,34,4.85,scattered clouds
115,Katsuura,JP,35.1333,140.3,60.82,56,100,20.0,overcast clouds
116,Marratxi,ES,39.6421,2.7539,50.9,93,20,4.61,light rain
117,Tuktoyaktuk,CA,69.4541,-133.0374,10.4,85,75,21.85,light snow
118,Rio Cuarto,AR,-33.1307,-64.3499,74.97,27,0,5.75,clear sky
119,Narsaq,GL,60.9167,-46.05,21.42,75,2,8.86,clear sky
120,Mahebourg,MU,-20.4081,57.7,73.69,83,40,0.0,scattered clouds
121,Saint-Paul,RE,-21.0096,55.2707,75.31,82,9,2.24,clear sky
122,Olafsvik,IS,64.8945,-23.7142,40.64,83,98,10.25,overcast clouds
123,Chuy,UY,-33.6971,-53.4616,65.16,96,93,3.22,overcast clouds
124,Inhambane,MZ,-23.865,35.3833,75.22,92,4,0.74,light rain
125,Armizonskoye,RU,55.9461,67.6736,-0.62,91,97,6.85,overcast clouds
126,Sibolga,ID,1.7427,98.7792,76.75,91,100,2.57,overcast clouds
127,The Valley,AI,18.217,-63.0578,78.1,71,1,12.28,clear sky
128,Clyde River,CA,70.4692,-68.5914,-0.17,65,2,20.71,clear sky
129,Alpena,US,45.0617,-83.4327,27.18,77,100,5.75,overcast clouds
130,Avarua,CK,-21.2078,-159.775,84.25,79,100,8.05,overcast clouds
131,Pipraich,IN,26.8264,83.53,59.97,70,0,4.41,clear sky
132,Dunedin,NZ,-45.8742,170.5036,64.8,50,100,13.8,light rain
133,Lufilufi,WS,-13.8745,-171.5986,91.18,75,12,9.06,light rain
134,Port Keats,AU,-14.25,129.55,92.26,44,89,9.84,overcast clouds
135,Castro,BR,-24.7911,-50.0119,64.63,94,100,3.49,overcast clouds
136,Saint-Joseph,RE,-21.3667,55.6167,73.78,84,83,9.8,broken clouds
137,Isangel,VU,-19.55,169.2667,84.34,74,100,8.61,overcast clouds
138,Khuzhir,RU,53.1939,107.3397,8.19,71,100,13.15,overcast clouds
139,Piacabucu,BR,-10.4056,-36.4344,75.56,86,100,8.66,overcast clouds
140,Constitucion,CL,-35.3333,-72.4167,57.06,72,76,13.31,broken clouds
141,Christchurch,NZ,-43.5333,172.6333,78.48,46,60,12.66,broken clouds
142,Bella Union,UY,-30.2752,-57.6007,69.8,93,100,6.62,overcast clouds
143,Saint Anthony,US,45.0205,-93.218,10.9,74,0,1.01,clear sky
144,Korla,CN,41.7597,86.1469,20.7,38,79,1.23,broken clouds
145,Coracao De Jesus,BR,-16.6853,-44.365,64.53,83,100,6.82,light rain
146,Pangnirtung,CA,66.1451,-65.7125,5.61,70,100,9.95,overcast clouds
147,Luau,AO,-10.7073,22.2247,60.33,95,97,2.48,overcast clouds
148,Bose,IT,45.4612,8.0137,43.2,94,100,3.69,light rain
149,Manfredonia,IT,41.6259,15.9094,55.87,88,20,10.36,few clouds
150,Luga,RU,58.7372,29.8453,24.28,93,100,7.49,light snow
151,Ribeira Grande,PT,38.5167,-28.7,59.77,78,99,25.01,light rain
152,Isla Mujeres,MX,21.2311,-86.731,75.25,82,33,14.94,light rain
153,Anadyr,RU,64.75,177.4833,27.1,86,100,29.08,shower snow
154,Senador Jose Porfirio,BR,-2.5908,-51.9542,75.33,89,100,4.25,overcast clouds
155,Fukue,JP,32.6881,128.8419,57.56,72,75,12.66,broken clouds
156,Kodiak,US,57.79,-152.4072,26.11,74,0,5.75,clear sky
157,Kisangani,CD,0.5167,25.2,69.78,97,100,2.28,overcast clouds
158,San Patricio,US,28.017,-97.5169,71.46,84,100,9.04,overcast clouds
159,Victoria,HK,22.2855,114.1577,70.32,83,59,8.99,broken clouds
160,Placido De Castro,BR,-10.3353,-67.1856,73.74,80,98,2.55,overcast clouds
161,La Rioja,ES,42.25,-2.5,28.18,91,34,4.12,scattered clouds
162,Okha,RU,53.5739,142.9478,4.44,85,100,21.9,light snow
163,Solano,US,38.2333,-121.9511,49.8,92,100,10.36,heavy intensity rain
164,Leshukonskoye,RU,64.8989,45.7622,-1.89,98,20,4.34,few clouds
165,Torbay,CA,47.6666,-52.7314,33.28,78,75,6.91,broken clouds
166,Cabo San Lucas,MX,22.8909,-109.9124,79.52,72,4,7.2,clear sky
167,Westport,US,41.1415,-73.3579,54.07,63,40,21.85,scattered clouds
168,Norman Wells,CA,65.282,-126.8329,30.24,51,100,24.16,overcast clouds
169,Pangody,RU,65.85,74.4859,-9.56,99,36,4.38,scattered clouds
170,Cordoba,AR,-31.4135,-64.1811,79.18,49,0,9.22,clear sky
171,Udachnyy,RU,66.4167,112.4,10.45,84,100,27.65,overcast clouds
172,Quzhou,CN,28.9594,118.8686,48.4,93,100,8.46,overcast clouds
173,New Norfolk,AU,-42.7826,147.0587,67.71,31,100,3.53,overcast clouds
174,Buala,SB,-8.145,159.5921,81.95,80,100,5.61,moderate rain
175,Belmonte,BR,-15.8631,-38.8828,73.63,90,98,7.34,light rain
176,Nuuk,GL,64.1835,-51.7216,29.01,69,75,25.32,light snow
177,Valparaiso,CL,-33.0393,-71.6273,64.47,100,0,5.75,clear sky
178,Gat,IL,31.61,34.7642,63.39,59,58,2.71,broken clouds
179,Galle,LK,6.0367,80.217,76.82,83,92,3.94,overcast clouds
180,Kaitangata,NZ,-46.2817,169.8464,62.55,53,100,11.36,overcast clouds
181,Takoradi,GH,4.8845,-1.7554,77.31,87,85,5.41,overcast clouds
182,Whitehorse,CA,60.7161,-135.0538,18.37,85,75,3.44,broken clouds
183,Paracatu,BR,-17.2222,-46.8747,67.51,93,100,5.35,overcast clouds
184,Paamiut,GL,61.994,-49.6678,17.71,70,12,14.76,few clouds
185,Beloha,MG,-25.1667,45.05,72.05,70,40,4.03,scattered clouds
186,Pasighat,IN,28.0667,95.3333,67.95,43,6,0.85,clear sky
187,Tortoli,IT,39.9256,9.6572,53.42,82,0,11.5,clear sky
188,Betafo,MG,-19.8333,46.85,60.42,90,9,3.91,clear sky
189,Outlook,CA,51.5001,-107.0513,8.91,77,27,15.14,scattered clouds
190,Bilibino,RU,68.0546,166.4372,5.59,84,100,4.07,overcast clouds
191,Sioux Lookout,CA,50.1001,-91.917,1.47,85,75,12.66,broken clouds
192,Fortuna,US,40.5982,-124.1573,49.12,77,100,3.44,light rain
193,Srednekolymsk,RU,67.45,153.6833,-41.19,100,51,3.42,broken clouds
194,Gilgit,PK,35.9221,74.3087,39.65,56,74,1.88,broken clouds
195,Elat,IL,29.5581,34.9482,60.64,59,0,4.61,clear sky
196,Nhulunbuy,AU,-12.2333,136.7667,90.21,58,40,10.36,scattered clouds
197,Sao Filipe,CV,14.8961,-24.4956,71.74,64,99,3.94,overcast clouds
198,Lensk,RU,60.7253,114.9278,1.17,93,100,15.55,light snow
199,Touros,BR,-5.1989,-35.4608,78.37,76,4,15.12,clear sky
200,Yangjiang,CN,21.85,111.9667,67.6,77,100,7.72,overcast clouds
201,Marsh Harbour,BS,26.5412,-77.0636,75.34,61,0,16.55,clear sky
202,Ahuimanu,US,21.4447,-157.8378,83.91,71,40,13.8,scattered clouds
203,Verkhnevilyuysk,RU,63.4453,120.3167,-6.32,98,100,5.75,overcast clouds
204,Batemans Bay,AU,-35.7167,150.1833,70.11,48,0,10.87,clear sky
205,Mount Isa,AU,-20.7333,139.5,91.17,18,0,8.05,clear sky
206,Pahrump,US,36.2083,-115.9839,57.51,46,6,3.0,clear sky
207,Beni,CD,0.5,29.4667,59.77,99,82,0.87,broken clouds
208,Caceres,ES,39.522,-6.3748,48.4,92,98,1.95,overcast clouds
209,Kidal,ML,18.4411,1.4078,73.15,15,73,11.56,broken clouds
210,Tukums,LV,56.9669,23.1553,25.95,97,100,4.61,light snow
211,Sept-Iles,CA,50.2001,-66.3821,37.92,98,100,13.8,light rain
212,Georgetown,MY,5.4112,100.3354,80.53,89,20,3.44,mist
213,Peniche,PT,39.3558,-9.3811,53.29,94,13,8.46,few clouds
214,Van,TR,38.4924,43.3831,31.35,86,20,2.3,few clouds
215,Labuhan,ID,-6.8844,112.2051,83.46,72,100,4.14,overcast clouds
216,Sur,OM,22.5667,59.5289,72.3,63,0,5.77,clear sky
217,Coahuayana,MX,18.7333,-103.6833,75.92,87,78,1.23,broken clouds
218,Rafai,CF,4.95,23.9167,68.56,49,8,2.75,clear sky
219,Havelock,US,34.8791,-76.9013,66.18,90,100,5.75,overcast clouds
220,Cap Malheureux,MU,-19.9842,57.6142,72.46,77,12,3.0,few clouds
221,Bilma,NE,18.6853,12.9164,70.72,21,4,9.42,clear sky
222,Stokke,NO,59.2236,10.3003,32.65,79,100,9.22,overcast clouds
223,Salalah,OM,17.0151,54.0924,71.69,64,0,5.75,clear sky
224,Pierre,US,44.3683,-100.351,29.28,63,0,7.0,clear sky
225,Lavrentiya,RU,65.5833,-171.0,31.24,99,100,10.22,snow
226,Acarau,BR,-2.8856,-40.12,79.57,79,21,17.07,few clouds
227,Poum,NC,-20.2333,164.0167,80.26,81,100,10.92,light rain
228,Svetlaya,RU,46.5389,138.3297,7.72,55,100,12.75,overcast clouds
229,Namatanai,PG,-3.6667,152.4333,85.57,65,85,5.66,overcast clouds
230,Iralaya,HN,15.0,-83.2333,77.92,85,14,11.45,light rain
231,Coihaique,CL,-45.5752,-72.0662,49.95,50,0,6.91,clear sky
232,Deputatskiy,RU,69.3,139.9,-17.72,96,100,5.23,overcast clouds
